Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,25,vont,will
24,26,pendant,while
25,27,revoir,meet again
26,28,aucune,any
27,29,place,square
28,30,parle,speak
29,31,compris,understood
30,33,attention,Warning
31,34,voici,here is
32,36,affaire,case
33,37,donner,give
34,38,type,type
35,39,leurs,their
36,40,donné,given
37,42,corps,body
38,43,endroit,place
39,44,yeux,eyes
40,46,écoute,listen
41,47,dont,whose
42,48,trouve,find
43,49,premier,first
44,50,perdu,lost
45,51,main,hand
46,52,première,first
47,53,côté,side
48,54,pouvoir,power
49,56,sois,be
50,57,tiens,here
51,59,tellement,so much
52,60,enfant,child
53,61,point,point
54,62,venu,came
55,63,suite,after
56,64,pardon,sorry
57,65,venez,come
58,66,devant,in front of
59,67,vers,towards
60,69,demandé,request
61,70,chambre,bedroom
62,71,mis,placed
63,73,droit,law
64,74,aimerais,would like to
65,76,mari,husband
66,77,cause,cause
67,78,enfin,finally
68,79,espère,hope
69,80,eau,water
70,81,attendez,Wait
71,82,parti,left
72,83,nouvelle,new
73,84,boulot,job
74,85,arrêter,Stop
76,88,compte,account
77,89,donne,given
78,90,loin,far
79,91,fin,end
80,92,croire,believe
81,94,gros,large
82,95,plutôt,rather
83,96,aura,will have
84,97,filles,girls
85,98,jouer,to play
86,99,bureau,office
